Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,Difficulty
aberration,10,556,6.32,946.55,0.51,332.94,20.0,0.63,0.7520520444207263
aberrations,11,299,5.7,1005.37,0.94,412.32,19.0,0.58,0.8494320347640466
abet,4,81,4.39,792.0,0.37,221.47,11.0,0.32,0.6925618154557699
abetted,7,132,4.88,998.5,0.71,372.52,18.0,0.53,0.8796726893852761
abeyance,8,36,3.58,914.0,0.22,179.38,4.0,0.13,0.8712612131839089
abhor,5,383,5.95,786.15,0.12,184.4,20.0,0.57,0.5476607964219461
abhorred,8,87,4.47,798.44,0.41,154.4,18.0,0.56,0.6951284592513532
abhorrent,9,366,5.9,794.15,0.25,203.55,13.0,0.41,0.5654494167873751
abide,5,1967,7.58,773.21,-0.18,276.41,33.0,0.94,0.3708164976747732
abides,6,443,6.09,750.63,-0.05,221.05,27.0,0.82,0.47533734847907294
abiding,7,1363,7.22,784.67,0.05,243.05,27.0,0.82,0.4230133922899037
abigail,7,693,6.54,881.12,0.19,361.4,26.0,0.81,0.6454219714873828
abilities,9,9029,9.11,657.06,-0.49,257.54,32.0,0.97,0.10929836598815786
ability,7,56922,10.95,619.68,-0.48,186.54,31.0,0.97,0.025437727122563595
abject,6,505,6.22,692.67,0.07,162.77,9.0,0.28,0.3645396559172575
ablaze,6,154,5.04,740.73,0.15,175.11,22.0,0.65,0.5570633529008158
able,4,176528,12.08,623.3,-0.5,214.58,33.0,1.0,0.011333892404259104
ably,4,256,5.55,796.14,0.14,297.96,14.0,0.42,0.6015603161291962
abnormal,8,2204,7.7,684.91,-0.19,234.31,33.0,1.0,0.22871083326980254
abnormalities,13,644,6.47,898.37,0.26,266.69,30.0,0.91,0.6766791187009225
abnormality,11,291,5.67,781.44,0.03,273.6,34.0,1.0,0.5660847246575691
abnormally,10,372,5.92,843.26,0.02,402.4,31.0,0.97,0.6413051764885264
aboard,6,3721,8.22,628.16,-0.52,220.02,31.0,0.94,0.1281543035755127
abode,5,486,6.19,855.83,0.27,332.04,30.0,0.88,0.6377220401006327
abolish,7,1606,7.38,703.22,-0.26,229.56,32.0,0.97,0.2802978323295469
abolished,9,1458,7.28,664.63,-0.36,223.12,32.0,0.97,0.2332850499351986
abolition,9,827,6.72,834.33,0.08,342.42,30.0,0.91,0.5543696475311937
abolitionist,12,134,4.9,982.89,0.64,310.02,28.0,0.9,0.8670427689258214
abolitionists,13,100,4.61,1010.97,0.78,280.61,30.0,0.97,0.8970293003989733
abominable,10,473,6.16,829.07,0.27,373.99,28.0,0.93,0.5990699092780362
abominate,9,3,1.1,888.59,0.51,268.72,27.0,0.82,0.934741175573683
aboriginal,10,1459,7.29,916.73,0.63,264.9,22.0,0.67,0.6354603440827425
aborigine,9,71,4.26,933.6,0.73,319.68,10.0,0.31,0.8573860892988743
aborigines,10,511,6.24,977.36,0.73,238.69,22.0,0.69,0.7915936062615944
abort,5,2778,7.93,672.48,-0.41,235.69,31.0,0.97,0.19529363929760363
abortion,8,16764,9.73,686.45,-0.32,245.73,33.0,0.97,0.10485121089680059
abortionist,11,206,5.33,833.82,0.12,243.54,34.0,0.97,0.6767299433305379
abortions,9,3768,8.23,774.63,-0.2,212.35,30.0,0.97,0.31536682676424993
abortive,8,213,5.36,881.08,0.14,454.68,26.0,0.79,0.7379990343320373
abound,6,1065,6.97,768.9,-0.07,324.78,30.0,0.91,0.4200909760870118
abounded,8,78,4.36,832.31,0.17,433.81,29.0,0.88,0.7474778277553302
abounding,9,100,4.61,884.52,0.28,417.12,31.0,0.91,0.7910853599654393
abounds,7,314,5.75,678.9,-0.28,212.35,31.0,0.89,0.3858351757261569
about,5,1307019,14.08,628.19,-0.56,167.99,31.0,0.94,0.0017788620365429087
above,5,177919,12.09,564.33,-0.85,162.03,33.0,0.94,0.00409138268404869
aboveground,11,19,2.94,830.65,0.19,187.02,31.0,0.94,0.8324566084724657
abracadabra,11,73,4.29,889.25,0.74,285.97,20.0,0.65,0.8141343294960738
abraham,7,3824,8.25,782.84,-0.14,269.09,32.0,1.0,0.32637035907600825
abrasion,8,250,5.52,807.35,0.08,242.71,26.0,0.79,0.6217376940865543
abrasive,8,576,6.36,710.59,-0.25,187.55,32.0,0.94,0.3808797743386445
abreast,7,491,6.2,846.48,0.41,331.99,31.0,0.94,0.6224238265863637
abridged,8,797,6.68,927.29,0.24,441.94,31.0,0.91,0.7003888084165587
abridgment,10,42,3.74,1152.61,0.87,484.35,18.0,0.6,0.9722497522299306
abroad,6,5984,8.7,654.69,-0.51,184.99,32.0,0.97,0.12767146959416534
abrogate,8,100,4.61,798.58,0.72,104.22,12.0,0.38,0.6837691545322864
abrogated,9,128,4.85,818.53,0.32,197.03,15.0,0.47,0.693273360270387
abrupt,6,719,6.58,690.97,-0.19,165.98,34.0,1.0,0.3305888033340957
abruptly,8,1230,7.11,701.21,-0.12,172.03,33.0,0.97,0.300373561027674
abruptness,10,23,3.14,817.68,0.33,234.22,28.0,0.82,0.808391146349521
abscess,7,96,4.56,1033.5,1.02,445.44,18.0,0.58,0.911006073543239
abscesses,9,109,4.69,1061.21,1.06,348.18,19.0,0.68,0.920484866966532
abscissa,8,18,2.89,953.15,0.77,338.62,13.0,0.41,0.9175624507636401
abscond,7,17,2.83,774.11,0.54,119.0,9.0,0.26,0.7813016187644533
absence,7,7304,8.9,687.0,-0.4,404.05,32.0,0.97,0.14883992782902594
absences,8,143,4.96,812.12,-0.09,440.99,34.0,0.97,0.6755355645345734
absent,6,3019,8.01,665.32,-0.41,260.97,34.0,1.0,0.18174887550506977
absented,8,4,1.39,794.58,-0.07,325.3,26.0,0.84,0.8748189372569948
absentee,8,152,5.02,886.79,0.32,375.03,28.0,0.85,0.7683667505273055
absenteeism,11,78,4.36,963.42,0.81,324.59,19.0,0.59,0.8752763589235344
absently,8,190,5.25,648.1,-0.4,245.67,30.0,0.94,0.38154049452364613
absentmindedly,14,49,3.89,1038.53,1.1,305.67,19.0,0.66,0.9310563899265584
absinth,7,8,2.08,744.5,0.83,91.22,2.0,0.07,0.7947701456125639
absolute,8,16840,9.73,707.03,-0.34,202.54,34.0,1.0,0.12213158496607456
absolutely,10,36965,10.52,667.0,-0.45,212.49,35.0,1.0,0.0578892531320678
absoluteness,12,23,3.14,888.84,0.17,379.42,31.0,0.97,0.8710070900358313
absolutes,9,587,6.38,826.7,0.02,321.53,33.0,0.94,0.5743945515997052
absolution,10,140,4.94,842.88,0.29,251.67,24.0,0.8,0.7197021676704531
absolutism,10,197,5.28,934.96,0.48,361.28,27.0,0.82,0.8040964651470103
absolve,7,223,5.41,730.12,-0.19,184.71,25.0,0.76,0.5055525907854946
absorb,6,2787,7.93,633.78,-0.54,201.42,32.0,0.97,0.1506950268099921
absorbed,8,2954,7.99,735.41,-0.24,311.38,32.0,0.97,0.27681634520088433
absorbency,10,82,4.41,955.82,0.53,409.63,28.0,0.85,0.8676526644812076
absorbent,9,193,5.26,793.73,0.12,252.35,30.0,0.91,0.6234911438082895
absorber,8,143,4.96,794.7,0.16,240.48,30.0,0.86,0.649564178801047
absorbing,9,933,6.84,747.06,-0.08,264.97,32.0,0.97,0.39696576961195396
absorbs,7,619,6.43,675.0,-0.47,186.33,34.0,1.0,0.3190262000965668
absorption,10,1735,7.46,825.69,0.25,273.87,29.0,0.88,0.47048359635079157
absorptions,11,11,2.4,841.13,0.31,248.26,32.0,1.0,0.8669665319813982
absorptive,10,32,3.47,873.88,0.54,347.87,17.0,0.57,0.8440954486544179
abstain,7,960,6.87,729.5,-0.06,212.02,28.0,0.88,0.36459048054687304
abstaining,10,190,5.25,861.88,0.26,236.4,32.0,0.97,0.7218876267439202
abstention,10,72,4.28,985.39,0.74,366.01,18.0,0.69,0.892378846789154
abstinence,10,983,6.89,884.38,0.17,278.31,29.0,0.91,0.6209753246423216
abstinent,9,73,4.29,968.9,0.73,325.55,21.0,0.7,0.8819343854031664
abstract,8,8606,9.06,667.91,-0.4,215.28,33.0,0.97,0.12126756626261086
abstracted,10,261,5.56,790.52,-0.02,233.85,33.0,1.0,0.5913191532616706
abstractedness,14,2,0.69,1073.32,0.96,358.42,28.0,0.97,0.9872684302813143
abstracting,11,113,4.73,875.26,0.11,385.21,31.0,0.97,0.7739828720998195
abstraction,11,1596,7.38,820.06,0.03,317.43,32.0,1.0,0.4686284973698254
abstractionism,14,1,0.0,1100.0,0.93,528.15,30.0,0.94,0.9931640873167137
abstractionists,15,3,1.1,1187.81,1.37,384.27,27.0,0.93,0.9944347030571015
abstractions,12,512,6.24,864.34,0.09,263.64,29.0,0.94,0.6459302177835379
abstractive,11,7,1.95,972.32,0.71,320.46,28.0,0.85,0.9499631521435288
abstractly,10,143,4.96,806.33,-0.03,280.45,33.0,0.97,0.6669207898147442
abstractors,11,0,0.0,942.86,0.47,389.84,28.0,0.88,0.972834235470509
abstracts,9,4089,8.32,766.5,-0.19,388.85,32.0,1.0,0.2957739320474702
abstruse,8,157,5.06,1042.6,0.89,377.88,15.0,0.45,0.9005616121572514
absurd,6,4985,8.51,736.57,-0.22,225.95,30.0,0.94,0.23663947548982237
absurdities,11,300,5.7,928.44,0.54,398.28,25.0,0.78,0.7722040100632767
absurdity,9,1084,6.99,860.47,0.22,320.24,32.0,0.94,0.5728444003964321
absurdly,8,316,5.76,808.72,0.08,303.65,29.0,0.88,0.6029071688140073
abundance,9,1825,7.51,698.73,-0.27,209.47,33.0,0.97,0.2628395720566186
abundant,8,1381,7.23,660.75,-0.34,187.74,32.0,0.97,0.2322939696576961
abuse,5,25915,10.16,608.69,-0.7,201.09,32.0,0.97,0.03799141063759498
abused,6,6038,8.71,620.94,-0.5,163.75,31.0,0.97,0.0981677721023608
abuses,6,3312,8.11,632.58,-0.46,155.19,33.0,0.97,0.1387258265355391
abusive,7,3526,8.17,799.24,-0.11,363.78,33.0,0.97,0.35851693730781936
abut,4,259,5.56,1072.33,0.81,171.91,3.0,0.09,0.9014764554903306
abutment,8,19,2.94,1089.5,1.1,442.43,6.0,0.19,0.9676247109349191
abutments,9,18,2.89,1164.25,1.45,277.98,4.0,0.12,0.9831008106528424
abysmal,7,619,6.43,714.58,-0.1,218.49,12.0,0.35,0.38093059896826004
abyss,5,4219,8.35,651.44,-0.34,153.51,25.0,0.76,0.14474854514497726
acacia,6,213,5.36,1013.5,0.32,457.5,2.0,0.06,0.870320957536022
academic,8,17622,9.78,716.91,-0.32,227.88,32.0,0.97,0.12853548829762904
academically,12,725,6.59,868.61,0.36,233.76,31.0,0.97,0.6224746512159792
academicianship,15,1,0.0,1150.45,1.31,395.78,11.0,0.48,0.9954003710197962
academics,9,1817,7.5,682.52,-0.42,254.12,31.0,0.97,0.2411628675256029
academies,9,967,6.87,794.96,-0.01,408.04,24.0,0.8,0.475540646997535
academy,7,12050,9.4,630.97,-0.47,190.44,33.0,1.0,0.0761352951640365
acadia,6,305,5.72,959.62,0.55,299.51,13.0,0.39,0.8036644557952783
acapulco,8,180,5.19,927.84,0.28,414.24,25.0,0.76,0.8018855937587355
accede,6,149,5.0,967.25,0.46,512.91,12.0,0.43,0.8506264135600112
acceded,7,62,4.13,880.11,0.21,312.75,18.0,0.56,0.814007267922035
accelerando,11,7,1.95,1069.4,1.06,609.99,5.0,0.16,0.9763919595435948
accelerate,10,2368,7.77,710.85,-0.21,228.69,34.0,0.97,0.25884983863180094
accelerated,11,3367,8.12,741.56,-0.13,255.87,32.0,0.94,0.27478336001626386
accelerating,12,1037,6.94,832.61,0.17,344.93,31.0,0.94,0.5321846967040228
acceleration,12,4203,8.34,712.16,-0.25,268.17,32.0,0.91,0.21697034382861935
accelerations,13,169,5.13,828.49,0.22,320.23,35.0,1.0,0.6845061116617113
accelerator,11,5152,8.55,838.23,-0.07,362.25,35.0,1.0,0.38677543137404385
accelerators,12,1466,7.29,791.89,0.11,254.91,28.0,0.97,0.42941729562145814
accelerometer,13,70,4.25,1130.87,0.97,604.18,15.0,0.56,0.9595435948260527
accelerometers,14,63,4.14,1029.23,1.13,295.8,13.0,0.52,0.9201036822444156
accent,6,5213,8.56,674.97,-0.49,283.59,33.0,1.0,0.15727681634520088
accented,8,1182,7.07,642.73,-0.42,150.5,30.0,0.91,0.22019770780920433
accenting,9,54,3.99,819.32,-0.06,300.07,31.0,0.94,0.7573632182155473
accents,7,1796,7.49,641.22,-0.58,163.73,32.0,0.94,0.1882290157810475
accentual,9,1,0.0,865.0,0.21,294.39,25.0,0.81,0.9512210617265127
accentuate,10,161,5.08,765.43,0.23,264.27,30.0,0.91,0.5945973418718711
accentuated,11,193,5.26,938.72,0.43,343.29,29.0,0.88,0.8091789281085614
accentuates,11,57,4.04,995.73,0.64,461.95,22.0,0.73,0.9065843307666895
accept,6,49430,10.81,556.39,-0.86,269.94,33.0,0.97,0.012197911107722802
acceptable,10,16372,9.7,661.06,-0.43,183.3,33.0,0.97,0.08523290386521308
acceptance,10,8774,9.08,660.75,-0.33,236.56,32.0,0.97,0.11369469644989962
accepted,8,33901,10.43,597.79,-0.64,133.54,33.0,0.94,0.028004370918146934
accepting,9,7649,8.94,630.55,-0.54,154.72,33.0,1.0,0.09471169728850601
accepts,7,4586,8.43,735.67,-0.37,316.72,30.0,0.94,0.2416202891921425
access,6,172256,12.06,677.79,-0.47,271.44,33.0,0.97,0.02376051434525171
accesses,8,2369,7.77,749.39,-0.13,216.13,31.0,0.97,0.31661203018983
accessible,10,10758,9.28,709.22,-0.38,321.75,32.0,1.0,0.1494498233844121
accessions,10,48,3.87,919.41,0.48,335.02,27.0,0.87,0.8633579832786968
accessories,11,5737,8.65,704.88,-0.31,255.98,33.0,1.0,0.1855098980966176
accessors,9,173,5.15,912.17,0.09,507.75,23.0,0.72,0.7881121191329318
accessory,9,1342,7.2,687.36,-0.33,194.15,33.0,0.97,0.27153058372087113
accident,8,11152,9.32,621.78,-0.61,210.39,32.0,0.97,0.07255215877614292
accidental,10,2346,7.76,691.0,-0.21,214.29,33.0,0.97,0.23252268049096592
accidentally,12,4432,8.4,704.6,-0.2,234.04,35.0,1.0,0.2026632105918528
accidents,9,4163,8.33,632.74,-0.47,204.38,34.0,1.0,0.1267058016314706
acclaim,7,889,6.79,828.19,-0.05,367.1,32.0,0.94,0.5387918985540393
acclaimed,9,1049,6.96,694.97,-0.21,171.48,30.0,0.97,0.30390587278595205
acclaims,8,7,1.95,801.13,-0.18,349.42,30.0,0.91,0.8560900612436787
acclamation,11,26,3.26,816.0,0.29,272.44,23.0,0.77,0.7992935376483444
acclimate,9,97,4.57,863.13,0.38,356.33,24.0,0.77,0.7705522096007725
acclimatized,12,17,2.83,1205.63,1.37,481.51,16.0,0.48,0.9886915199105486
accolade,8,703,6.56,960.35,0.69,441.56,17.0,0.55,0.7522553429391883
accolades,9,227,5.42,899.06,0.37,405.83,18.0,0.53,0.7558893039566974
accommodate,11,2454,7.81,726.15,-0.15,196.9,34.0,1.0,0.2780107239968489
accommodated,12,301,5.71,705.59,-0.14,224.03,34.0,1.0,0.43483011867551014
accommodates,12,136,4.91,756.63,-0.15,224.15,32.0,0.94,0.5959950191862977
accommodating,13,447,6.1,760.45,-0.03,212.84,29.0,0.97,0.4902289649564179
accommodation,13,2006,7.6,864.83,0.07,330.98,35.0,0.97,0.523214149576885
accommodations,14,1434,7.27,770.88,0.02,245.32,34.0,1.0,0.396025513964067
accompanied,11,4441,8.4,787.09,-0.01,254.65,32.0,0.97,0.3195852710223374
accompanies,11,722,6.58,803.45,0.01,355.4,29.0,0.91,0.5167848339305228
accompaniment,13,711,6.57,728.36,0.09,284.87,22.0,0.92,0.39089222637290033
accompaniments,14,36,3.58,1015.39,0.84,343.96,23.0,0.88,0.9284135091865519
accompanist,11,156,5.05,817.18,0.38,271.21,28.0,0.93,0.6754085029605347
accompanists,12,73,4.29,886.08,0.55,342.92,24.0,0.89,0.8112627379227974
accompany,9,2138,7.67,725.84,-0.22,279.75,32.0,0.91,0.2897766257528398
accompanying,12,2991,8.0,899.42,0.26,402.95,31.0,0.94,0.5430103428121268
accomplice,10,281,5.64,784.33,-0.06,310.5,33.0,0.97,0.5734542959518183
accomplices,11,220,5.39,940.52,0.59,390.2,31.0,0.94,0.803181621813931
accomplish,10,7794,8.96,773.12,-0.23,321.47,33.0,0.97,0.2518106274300526
accomplished,12,6982,8.85,726.79,-0.25,272.59,33.0,1.0,0.198063581611649
accomplishes,12,592,6.38,862.14,0.35,252.67,29.0,1.0,0.6307082412136922
accomplishing,13,704,6.56,708.63,-0.15,213.01,32.0,0.94,0.3596350791593606
accomplishment,14,1301,7.17,803.06,0.04,324.4,32.0,0.97,0.4602932581128815
accomplishments,15,1990,7.6,776.33,0.02,230.25,27.0,0.93,0.37356102767401084
accord,6,3524,8.17,683.71,-0.38,191.93,31.0,0.97,0.192650758557597
accordance,10,4854,8.49,767.24,-0.09,276.87,33.0,1.0,0.2824324667733984
accorded,8,563,6.33,763.74,0.01,319.68,31.0,0.97,0.47449874209041704
according,9,64745,11.08,707.18,-0.45,303.17,33.0,1.0,0.06284465451958018
accordingly,11,5108,8.54,736.58,-0.18,306.32,33.0,0.97,0.2341490686386623
accordion,9,590,6.38,930.2,0.4,306.87,25.0,0.76,0.7274529236868187
accords,7,974,6.88,680.44,-0.34,202.43,34.0,1.0,0.2889380193641839
accost,6,31,3.43,806.81,0.11,309.77,26.0,0.76,0.7795227567279104
accosted,8,168,5.12,796.65,0.26,324.27,20.0,0.59,0.6396025513964066
accosting,9,24,3.18,838.54,0.24,261.31,24.0,0.73,0.8267388376407206
account,7,60958,11.02,619.38,-0.68,162.14,34.0,1.0,0.023862163604482733
accountability,14,1478,7.3,821.21,0.17,287.15,34.0,1.0,0.4786409494040812
accountable,11,2339,7.76,729.33,-0.19,243.87,33.0,0.97,0.28769281593860385
accountant,10,1527,7.33,817.19,0.05,386.31,32.0,0.94,0.4685014357957866
accountants,11,1506,7.32,742.86,-0.22,206.57,35.0,1.0,0.3459124291631725
accounted,9,1502,7.31,664.83,-0.43,185.4,35.0,1.0,0.23170948641711772
accounting,10,15754,9.66,632.09,-0.43,119.87,34.0,1.0,0.06602119387054967
accounts,8,18019,9.8,644.92,-0.6,222.78,36.0,1.0,0.06935020711036569
accredit,8,35,3.56,839.71,0.3,406.21,24.0,0.71,0.806307336535285
accreditation,13,561,6.33,975.0,0.61,327.95,31.0,0.97,0.7837666133008055
accredited,10,1049,6.96,773.91,0.07,345.52,32.0,0.97,0.43053543747299944
accrue,6,611,6.42,704.89,-0.07,186.64,19.0,0.56,0.3659119209168763
accrued,7,230,5.44,851.08,0.21,322.62,24.0,0.73,0.6921043937892303
accrues,7,63,4.14,917.33,0.39,488.23,15.0,0.45,0.8498640441157785
accruing,8,155,5.04,897.14,0.42,270.69,21.0,0.64,0.7784554395059846
acculturated,12,24,3.18,1061.47,1.13,405.72,19.0,0.76,0.9568498894564306
acculturation,13,35,3.56,1047.95,0.79,285.38,19.0,0.7,0.9432288887194734
accumulate,10,1392,7.24,734.09,-0.24,285.07,34.0,1.0,0.33912734110950166
accumulated,11,2137,7.67,748.26,-0.13,218.34,34.0,1.0,0.32375289065080937
accumulates,11,249,5.52,749.78,-0.2,223.88,32.0,0.97,0.5280933140199741
accumulating,12,553,6.32,776.41,-0.05,310.74,34.0,1.0,0.4964295697695103
accumulation,12,1206,7.1,859.88,0.03,346.8,33.0,0.97,0.5616883941958273
accuracy,8,10534,9.26,615.97,-0.61,187.05,33.0,1.0,0.07067164748036898
accurate,8,21492,9.98,728.24,-0.22,286.27,33.0,1.0,0.12858631292724454
accurately,10,5396,8.59,807.22,-0.01,407.42,32.0,0.94,0.334095702777566
accurst,7,4,1.39,914.9,0.26,388.72,10.0,0.29,0.9386546720540774
accusation,10,2176,7.69,819.06,0.16,215.34,32.0,0.97,0.43714263932301595
accusations,11,3477,8.15,763.73,-0.06,301.82,30.0,0.91,0.30611674417422685
accusative,10,103,4.63,1071.37,0.83,536.54,19.0,0.63,0.9266854717796245
accuse,6,3798,8.24,626.36,-0.52,180.47,33.0,1.0,0.12558765977992936
accused,7,9093,9.12,661.97,-0.47,202.39,32.0,0.97,0.11288150237605143
accuses,7,809,6.7,758.7,-0.11,217.71,30.0,0.94,0.4296968310843435
accusing,8,2296,7.74,743.55,-0.17,271.41,33.0,1.0,0.309954003710198
accusingly,10,39,3.66,809.74,0.14,257.77,31.0,0.94,0.76831592589769
accustom,8,75,4.32,751.48,0.01,204.72,25.0,0.83,0.639882086859292
accustomed,10,1691,7.43,735.72,-0.17,168.83,32.0,1.0,0.32527762953927475
ace,3,6967,8.85,579.03,-0.61,126.87,34.0,1.0,0.061955223501308734
acerbic,7,76,4.33,829.89,0.54,268.01,9.0,0.28,0.746562984422251
aces,4,1837,7.52,768.94,-0.08,310.0,31.0,0.91,0.36924093415669235
acetate,7,547,6.3,856.65,0.42,251.46,26.0,0.76,0.6292851515844579
acetone,7,423,6.05,793.04,0.04,249.36,24.0,0.73,0.5495158954029122
acetylene,9,82,4.41,1084.0,0.8,366.87,17.0,0.52,0.9378414779802292
ache,4,846,6.74,631.66,-0.5,163.52,29.0,0.91,0.23021015984346013
ached,5,296,5.69,797.04,0.04,303.88,28.0,0.88,0.5900485375212828
aches,5,419,6.04,683.77,-0.33,313.22,31.0,0.91,0.3664964041574547
achieve,7,15544,9.65,702.82,-0.49,264.47,33.0,0.97,0.1225635943178064
achieved,8,8305,9.02,700.09,-0.32,276.35,32.0,0.97,0.15631114838250615
achievement,11,3925,8.28,746.68,-0.21,308.75,34.0,1.0,0.26858275520317143
achievements,12,2085,7.64,700.36,-0.22,171.26,33.0,1.0,0.254478920484867
achieves,8,762,6.64,757.23,-0.07,299.65,31.0,0.91,0.43310208126858274
achieving,9,3180,8.06,657.17,-0.27,221.0,30.0,0.94,0.1691697796752306
achilles,8,688,6.53,751.19,0.16,172.15,26.0,0.81,0.43343244136108355
aching,6,1099,7.0,799.6,-0.11,362.43,30.0,0.91,0.47038194709156056
acid,4,13610,9.52,615.69,-0.57,223.81,32.0,0.97,0.06137074026073035
acidic,6,809,6.7,753.85,-0.02,127.23,26.0,0.76,0.4204975731239359
acidity,7,256,5.55,738.67,-0.09,232.28,27.0,0.82,0.5067469695814592
acids,5,2326,7.75,636.75,-0.42,196.23,32.0,0.91,0.16568829254656806
acknowledge,11,6783,8.82,771.38,-0.15,396.39,32.0,0.97,0.2605016390943051
acknowledged,12,3936,8.28,810.85,0.09,278.23,34.0,1.0,0.3670046504536098
acknowledgement,15,1823,7.51,735.76,0.1,230.55,29.0,0.88,0.31831465528194963
acknowledges,12,1067,6.97,951.52,0.61,340.44,33.0,0.94,0.7108332698025464
acknowledging,13,1216,7.1,857.81,0.24,331.74,32.0,0.97,0.5577748977154329
acknowledgment,14,948,6.85,850.67,0.28,361.37,33.0,1.0,0.5697949226195014
acknowledgments,15,409,6.01,917.36,0.29,415.6,28.0,0.9,0.7372112525729969
acme,4,911,6.81,772.0,-0.22,335.82,28.0,0.85,0.4423775761734136
acne,4,536,6.28,627.94,-0.55,142.24,32.0,0.94,0.2611877715941145
acolyte,7,444,6.1,731.18,0.05,143.32,11.0,0.35,0.44138649589591117
acorn,5,8301,9.02,721.96,-0.24,232.61,27.0,0.79,0.18113897994968362
acorns,6,359,5.88,735.07,-0.05,245.97,30.0,0.88,0.4685776727402099
acoustic,8,5401,8.59,793.44,0.19,301.39,32.0,0.97,0.31280018296866663
acoustical,10,270,5.6,855.69,0.49,259.47,29.0,0.94,0.6854971919392138
acoustically,12,157,5.06,988.35,0.66,411.05,26.0,0.87,0.8644761251302381
acoustics,9,1240,7.12,789.03,-0.02,260.92,30.0,0.91,0.4414881451551422
acquaint,8,167,5.12,858.73,0.09,286.94,30.0,0.94,0.7273766867423954
acquaintance,12,1275,7.15,807.45,0.08,264.89,31.0,1.0,0.4693654544992503
acquainted,10,1022,6.93,796.61,-0.03,379.64,33.0,0.97,0.4719575106096414
acquiesce,9,108,4.68,881.84,0.52,224.3,19.0,0.59,0.7841223857081141
acquiesced,10,111,4.71,934.5,0.61,337.45,12.0,0.4,0.8357093847678585
acquiescence,12,91,4.51,927.75,0.51,304.04,24.0,0.75,0.8394704073594064
acquiescent,11,19,2.94,714.0,-0.01,200.33,17.0,0.57,0.698279586287515
acquire,7,6529,8.78,673.94,-0.3,219.41,33.0,0.94,0.14279179690478006
acquired,8,6388,8.76,710.0,-0.18,252.3,32.0,0.97,0.18434093161546086
acquires,8,460,6.13,748.42,-0.3,252.53,33.0,0.97,0.46710375848136004
acquiring,9,1952,7.58,731.74,-0.15,154.27,31.0,0.91,0.3065995781555742
acquisition,11,5006,8.52,785.59,0.0,206.61,32.0,0.94,0.3071332367665371
acquisitions,12,1098,7.0,779.12,0.13,252.61,33.0,0.97,0.4355924881197428
acquisitive,11,40,3.69,908.64,0.59,317.37,28.0,0.93,0.8628751492973495
acquisitiveness,15,4,1.39,1216.81,0.92,487.33,16.0,0.64,0.9948921247236411
acquit,6,100,4.61,832.44,0.28,279.25,25.0,0.86,0.7305786384081726
