Word,Difficulty
alienate,0.7335153
alignment,0.2754378
alike,0.4248003
allergic,0.35568926
allergy,0.21473174
alliance,0.21201004
allocate,0.22387455
allot,0.4595887
allowance,0.19833368
alloy,0.3434392
ally,0.18306717
alone,0.24233744
along,0.16515493
alongside,0.43578425
alter,0.13642196
alternate,0.44393733
alternation,0.36388755
alternative,0.21103857
altitude,0.46133736
aluminum,0.31159058
amateur,0.17524049
amaze,0.13810103
amazement,0.2048368
ambassador,0.31318033
ambiguity,0.6568092
ambiguous,0.6257482
ambition,0.24213658
ambitious,0.60902596
ambulance,0.66248196
amend,0.3217731
amendment,0.27830997
amends,0.60320187
amiable,0.5263518
amicable,0.6385109
amid,0.6172469
ammunition,0.5820269
amount,0.2870625
ample,0.27186236
amplification,0.52524155
amplify,0.40823942
amuse,0.21781749
analogy,0.16273057
analysis,0.3517041
analytical,0.6841902
analyze,0.15899886
ancestor,0.23821127
anchor,0.099462554
anecdote,0.45481777
angular,0.7730057
animate,0.21425538
animation,0.25242454
ankle,0.28455183
annex,0.2301861
anniversary,0.45568082
announce,0.09775143
announcement,0.2221155
announcer,0.3740775
annoy,0.18229748
annual,0.22116417
annually,0.28030112
antagonism,0.7821555
antagonist,0.7802015
antarctic,0.7307323
antibiotic,0.6674833
anticipate,0.64327884
anticipation,0.49575296
antique,0.18708391
antonym,0.7192245
anxiety,0.21728344
anxious,0.2025286
anyhow,0.46406773
apart,0.12022754
ape,0.17983921
apologize,0.3137008
apology,0.12200122
apparatus,0.35101295
apparent,0.10827598
appeal,0.122188784
appealing,0.30428615
appendix,0.24801105
appetite,0.18126872
applaud,0.2194737
appliance,0.26026782
applicable,0.49624917
applicant,0.11580035
application,0.10848271
apply,0.09539052
appoint,0.38367742
appointment,0.2654546
appreciable,0.74790746
appreciate,0.37948638
appreciation,0.6278387
appreciative,0.5895525
apprentice,0.5702748
approach,0.09463935
appropriate,0.53786016
approval,0.19359168
approve,0.17265989
approximate,0.5831406
approximately,0.65944016
apt,0.13691038
aptitude,0.5651673
arbitrary,0.51909566
arbitrator,0.7593623
arc,0.14751779
arch,0.13813022
archaeology,0.61680245
architect,0.17492439
architecture,0.34799367
ardent,0.43529066
arduous,0.7373373
area,0.17320429
arena,0.20603341
argue,0.10022572
arise,0.2544647
aristocracy,0.77733195
aristocrat,0.7945253
arithmetic,0.581875
armour,0.21573977
arms,0.13272727
arouse,0.33335972
arrange,0.1708638
arrangement,0.18519315
array,0.22829713
arrest,0.1471107
arrogance,0.13249722
arrogant,0.24277249
article,0.17172317
artificial,0.2378076
ascend,0.39401117
ascertain,0.7469432
ascribe,0.52591074
ashamed,0.22434503
aside,0.33099613
aspect,0.07227134
aspirin,0.49396625
assassination,0.594708
assault,0.12628496
assemble,0.10859971
assembly,0.15435998
assert,0.15458563
assess,0.23901181
assessment,0.18833777
assign,0.17627148
assignment,0.15483242
assist,0.107772104
assistance,0.16220452
assistant,0.22000234
associate,0.12590666
association,0.20471683
assorted,0.40393403
assortment,0.224374
assume,0.08890701
assumption,0.12464227
assurance,0.12050742
assure,0.17540601
assured,0.1789571
astonish,0.38948062
astound,0.43378952
astray,0.51937836
astronomer,0.5208054
astronomical,0.74674237
astronomy,0.38894343
athlete,0.2240239
atlas,0.07951012
atmosphere,0.2336618
atom,0.29083043
atomic,0.38195273
attach,0.11150151
attachment,0.29462022
attack,0.09779073
attain,0.18356442
attempt,0.10639356
attend,0.09927939
attendance,0.5866612
attendant,0.42409438
attention,0.1769441
attentive,0.540504
attic,0.10100974
attitude,0.22603424
attorney,0.2722668
attract,0.17656313
attraction,0.37870398
attribute,0.28167483
auction,0.2156098
audience,0.13734347
auditorium,0.41469413
august,0.24712649
author,0.06399172
authority,0.08904713
authorization,0.6038608
authorize,0.33453757
autobiography,0.6269064
automate,0.4687579
automatic,0.37870762
automation,0.39364034
automobile,0.42117667
autonomous,0.41133875
autonomy,0.5322927
auxiliary,0.43168107
avail,0.26530695
available,0.18317127
avenge,0.5111066
avenue,0.19050144
average,0.28986225
aviation,0.2705711
avoid,0.19204843
aware,0.103119336
awe,0.298283
awful,0.100185946
awkward,0.2865535
awkwardly,0.6226305
axis,0.16132204
axle,0.14794676
baby-sitter,0.8249744
bachelor,0.2805309
backbone,0.25361606
backward,0.2176577
bacon,0.12088374
bacterium,0.5719774
badge,0.27997947
badminton,0.66679615
baffle,0.48857364
baggage,0.26082993
bait,0.14176373
bake,0.057716813
balance,0.12766927
balcony,0.10243031
bald,0.1421984
ballet,0.35377142
balloon,0.25752494
ballroom,0.2942693
bamboo,0.39460567
band,0.129199
bandage,0.5029496
bang,0.17949064
banker,0.26956165
bankrupt,0.29087564
banner,0.23020571
banquet,0.3039897
bar,0.09061763
barber,0.3635389
bare,0.13037755
barely,0.17154843
bargain,0.27022338
barge,0.39309213
bark,0.21454018
barn,0.16717906
barometer,0.48770908
baron,0.3376212
barrel,0.2824486
barren,0.279979
barrier,0.20867878
barter,0.2684035
baseball,0.16393246
basement,0.11028262
basin,0.36455762
bathe,0.37950447
batter,0.2823181
battery,0.21831472
bay,0.11447209
bazaar,0.48398075
bead,0.14014702
beak,0.24639048
beam,0.3223305
bean,0.199333
bear,0.08836142
bearing,0.19504422
beat,0.19054829
become,0.06998442
beforehand,0.52015674
behalf,0.13515864
behave,0.18880232
behavior,0.15843101
belly,0.11482642
beloved,0.14258812
below,0.092836775
bend,0.109348714
beneath,0.21801619
beneficial,0.48300546
beneficiary,0.5470363
benefit,0.16430688
benevolent,0.41748783
bent,0.12062823
besides,0.22590943
bestow,0.34827158
bet,0.06486328
betray,0.44723806
beverage,0.24991968
bewilder,0.754601
bias,0.18560244
bid,0.13251932
bill,0.09268222
billion,0.19593066
bind,0.24195212
biographer,0.4889814
biography,0.25504202
biologist,0.32992005
bite,0.16183831
bitter,0.24820584
bitterness,0.26253805
blacksmith,0.5546578
blade,0.17391875
blame,0.14385428
blank,0.18826583
blanket,0.21492317
blast,0.2169846
blaze,0.14343171
bleach,0.39025444
bleed,0.15017776
blend,0.35288575
bless,0.09117067
blessing,0.114099994
blink,0.23349015
block,0.12918337
bloom,0.24699727
blossom,0.34845158
blot,0.19111525
blunder,0.34918913
blunt,0.47519198
blush,0.32072386
board,0.10133351
boarding,0.31389803
boast,0.22585736
bodyguard,0.3577225
boil,0.08515178
bold,0.07576727
bolt,0.1286287
bond,0.109320536
bonus,0.19895177
bookcase,0.32853913
boom,0.14827025
booming,0.40996277
boost,0.22647065
booth,0.14545345
border,0.14580598
bore,0.15893169
boring,0.2376451
bother,0.12353728
bounce,0.1550451
bound,0.096012145
boundary,0.1387359
bourgeois,0.590781
bow,0.1028439
bowl,0.13279717
boycott,0.18094397
brace,0.115485474
brain,0.14477378
brake,0.20943487
brand,0.1199312
breach,0.46959108
breadth,0.4863913
break,0.09677972
breakdown,0.27986127
breakthrough,0.42295292
breath,0.1841161
breathe,0.45729646
breed,0.15939988
breeze,0.23148523
bribe,0.38528213
bridle,0.43376917
brief,0.14242879
brighten,0.43447897
brilliance,0.51259434
brilliant,0.61488366
brim,0.36158466
brink,0.33898354
brisk,0.63985157
brittle,0.36794955
broadcast,0.20557041
broaden,0.44492137
brochure,0.45194694
bronze,0.22996762
brood,0.50799906
brook,0.26731315
brown,0.16815999
bruise,0.2875927
brutal,0.40736791
brute,0.37692785
bubble,0.23047931
bucket,0.22767472
bud,0.09440414
budget,0.17388302
buffet,0.32729107
bug,0.15260527
bulb,0.27189484
bulk,0.19468966
bulky,0.37795383
bull,0.13487425
bulletin,0.26328442
bullion,0.72477037
bump,0.15403168
bunch,0.22345683
bundle,0.24317744
burdensome,0.6971266
bureaucracy,0.6184951
burial,0.3677261
bush,0.115176894
business,0.15838306
butcher,0.34605303
butter,0.2935722
butterfly,0.42015526
buzz,0.12551321
bygone,0.81875616
bypass,0.25394258
by-product,0.83418405
cab,0.2023546
cabin,0.19363609
cabinet,0.16255043
cable,0.18756914
cafe,0.16684905
cafeteria,0.4192165
calculate,0.17472501
calculation,0.20998444
calendar,0.25235462
calm,0.1510791
calorie,0.262232
campaign,0.35111836
campus,0.17413637
canal,0.16886795
canary,0.6793577
cancel,0.17581901
cancellation,0.51923954
candid,0.25912303
candidate,0.2876098
cane,0.09632903
cannon,0.1568927
canon,0.28438064
canteen,0.5293773
canvas,0.27028796
canvass,0.6978258
capability,0.2845806
capable,0.21579981
capacity,0.24298981
cape,0.17704765
capital,0.17595315
caption,0.14696054
captive,0.13151583
capture,0.14175542
card,0.18733525
cardinal,0.25792706
career,0.22442971
careful,0.17914735
careless,0.24357738
cargo,0.17261474
carol,0.16522361
carpenter,0.5151657
carrier,0.18006589
carrot,0.19453824
carry,0.11761122
cart,0.17863436
carton,0.19098571
cartoon,0.28920418
carve,0.2648567
carving,0.1842345
cash,0.30860558
cashier,0.30561894
cassette,0.28510875
cast,0.17444767
casual,0.11072265
casualty,0.5027919
catalyst,0.49235728
catastrophe,0.35488483
catch,0.1489958
category,0.10604017
cater,0.20850383
cathedral,0.3856583
catholic,0.14144744
cause,0.07560771
caution,0.27536538
cautious,0.49580064
cavalry,0.26936373
cavern,0.3312729
cavity,0.22061747
cease,0.1731065
celebrate,0.28124195
cell,0.1659433
cellar,0.30071434
cement,0.16552125
cemetery,0.31986248
censor,0.07282548
centigrade,0.81837374
cereal,0.2347429
ceremonial,0.7876852
ceremony,0.427214
certainty,0.090970255
certificate,0.46515995
certify,0.74206996
chalk,0.24034165
challenge,0.21347564
chamber,0.17197078
champion,0.15112808
championship,0.3038016
channel,0.12602773
chaos,0.16467312
chap,0.21298309
chapter,0.1469434
character,0.10749845
characteristic,0.4765294
characterize,0.512112
charcoal,0.38975325
charge,0.13754794
charity,0.23472013
charm,0.1419225
chart,0.08692376
charter,0.19078366
chase,0.20935243
chat,0.13015
check,0.11783503
cheer,0.13100041
cheque,0.07405778
cherish,0.23055659
chew,0.11862334
chief,0.093053035
chill,0.19363268
chilly,0.41080284
chin,0.19314411
chip,0.112421714
choke,0.19956784
chop,0.13225089
chorus,0.19445887
circle,0.12146921
circuit,0.099853426
circular,0.36041796
circulate,0.62176764
circulation,0.4988123
circumference,0.51481265
circumstance,0.5145411
circus,0.346799
cite,0.116595596
citizenship,0.34445658
civil,0.14799562
civilization,0.3271233
claim,0.10377618
clamp,0.3816432
clap,0.2752595
clarification,0.49256647
clarify,0.21225607
clash,0.14557046
clasp,0.44197407
classic,0.19389203
classical,0.22845316
classification,0.5438205
classify,0.17067355
clause,0.1966783
clay,0.30965292
clear,0.083454855
clearance,0.24487601
clench,0.5738552
client,0.11215405
clientele,0.7045544
climate,0.119910024
climax,0.18462837
cling,0.27849808
clinic,0.14775474
clip,0.18143086
clockwise,0.56003857
closet,0.26647747
clue,0.15671211
clumsy,0.41459695
cluster,0.22683871
clutch,0.25838485
coach,0.25841433
coarse,0.31859753
code,0.19606218
codify,0.6418047
coherence,0.47482166
coherent,0.362525
cohesion,0.4125162
cohesive,0.569625
coil,0.25032377
coin,0.12404826
coinage,0.6292888
coincide,0.6723716
coincidence,0.49500826
coincident,0.67310905
collaborate,0.6772949
collaboration,0.57446915
collapse,0.2337973
colleague,0.3868879
collective,0.20801291
collide,0.5797209
collision,0.44864625
colonel,0.20613208
colonial,0.42584664
colony,0.1708172
column,0.17370966
combat,0.35359612
combination,0.26922324
combine,0.19268283
comedy,0.17992099
comic,0.20416915
commander,0.22289138
commandment,0.38774425
commemorate,0.78825426
commence,0.4645389
commend,0.22252224
comment,0.10149437
commerce,0.12955034
commercial,0.13495581
commission,0.18598759
commit,0.30037746
commitment,0.27223808
committee,0.31895503
commodity,0.34769744
commonplace,0.69152206
commonsense,0.593866
communicate,0.20532273
communication,0.21739043
community,0.2405648
compact,0.2996165
companion,0.18163948
company,0.09257632
comparable,0.19541918
comparative,0.40020868
comparatively,0.6801063
compare,0.11937395
compass,0.24257274
compatible,0.20959882
compel,0.37967658
compensate,0.41946006
compensation,0.42976636
compete,0.20823589
competent,0.34813502
competition,0.15650895
competitive,0.15089703
competitiveness,0.6284836
competitor,0.44615537
compile,0.10633004
complain,0.15324079
complaint,0.20929009
complement,0.34890717
complex,0.21658117
complexity,0.33100566
compliance,0.33421153
complicated,0.38571605
compliment,0.2503338
complimentary,0.31371704
comply,0.27589166
component,0.11765015
compose,0.15905483
composite,0.3484277
composition,0.3670283
compound,0.21629685
comprehend,0.39223036
comprehension,0.55103076
comprehensive,0.5251065
compress,0.24383679
compression,0.27431744
comprise,0.26273406
compromise,0.31195632
compulsory,0.7040953
computation,0.5096243
compute,0.13987194
conceal,0.2627559
concede,0.56623685
conceit,0.11099007
conceited,0.19110425
conceive,0.44253483
concentrate,0.29744267
concept,0.16980357
conception,0.2993644
concern,0.117470354
concert,0.17165588
concerted,0.4121488
concession,0.43262976
concise,0.2254799
conclude,0.26360163
conclusive,0.5804827
concrete,0.5892495
concurrent,0.62033135
condemn,0.23025955
condemnation,0.556495
condensation,0.6662607
condense,0.2443871
condenser,0.7465465
condition,0.15906373
conduct,0.09262216
conductor,0.19791932
cone,0.12585315
confer,0.39274973
conference,0.16495144
confess,0.3138787
confession,0.20877895
confide,0.32122394
confidence,0.33975837
confident,0.26113054
confidential,0.3044184
confine,0.3065033
confinement,0.48278436
confirm,0.14155598
confirmation,0.3067699
conflict,0.107706755
conform,0.1285407
conformity,0.59261894
confront,0.3344669
confrontation,0.6875667
confuse,0.19616568
confusion,0.24133088
congestion,0.5359763
congratulation,0.6288181
congress,0.1545691
congressman,0.34769464
conjunction,0.5152248
connect,0.061677147
connection,0.13050227
conquer,0.28964102
conquest,0.1938851
conscience,0.34333393
conscientious,0.8496732
conscious,0.27559844
consciousness,0.4758536
consecutive,0.5678412
consent,0.1669355
consequence,0.23605148
consequently,0.41267928
conservation,0.34038287
conservative,0.5454606
considerable,0.29212627
considerably,0.32037377
considerate,0.44242108
consideration,0.3338906
consign,0.62990695
consist,0.20725791
consistency,0.618274
consistent,0.24066888
console,0.22755803
consolidate,0.7430189
consonant,0.7012806
conspicuous,0.705209
conspiracy,0.27273962
constant,0.23645243
constantly,0.3131231
constituent,0.66770464
constitute,0.30829778
constitution,0.29711968
constraint,0.54781985
construct,0.15943462
construction,0.17553715
consult,0.08126939
consultant,0.26099712
consume,0.18140659
consumer,0.22529532
consumption,0.28358966
contact,0.079979345
contain,0.09722491
container,0.15491779
contemplate,0.5914957
contemplation,0.7174906
contemporary,0.1796677
contempt,0.104321234
contemptuous,0.8121868
content,0.1367457
contest,0.15631783
context,0.14213459
continent,0.2501473
continental,0.4230088
contingency,0.524964
contract,0.14728037
contradict,0.5166781
contradiction,0.6770106
contrary,0.31244558
contrast,0.28587678
contribute,0.23105213
contribution,0.2909695
controversial,0.5026065
controversy,0.32656187
convenience,0.3605281
convenient,0.28031802
convention,0.121498354
conventional,0.39956954
conversant,0.45534906
conversation,0.32299554
converse,0.26710507
conversely,0.4165754
conversion,0.25905442
convert,0.11413418
convey,0.22489016
conveyance,0.7874897
convict,0.076937094
conviction,0.16526848
convince,0.076135546
convinced,0.12675287
cooperate,0.49408484
cooperation,0.36506143
cooperative,0.5620495
coordinate,0.2927575
coordination,0.32297406
cordial,0.25803497
core,0.2858699
cork,0.27488336
corn,0.17524843
corner,0.2437013
corporate,0.22223347
corporation,0.1908268
correlate,0.57853776
correlation,0.38354164
correspond,0.27606738
correspondence,0.37784323
correspondent,0.40545952
corresponding,0.25882214
corrode,0.539051
corrosion,0.44155717
corrupt,0.15461068
corruption,0.2863925
cosmic,0.17354585
cosmopolitan,0.6318422
cosmos,0.41358352
couch,0.14239039
counsel,0.12893118
countenance,0.2233932
counter,0.18097246
countermand,0.8953638
counterpart,0.26709124
countless,0.13843404
couple,0.15438534
court,0.15422699
courteous,0.43586653
courtesy,0.25552526
cover,0.17526601
coverage,0.24062419
coward,0.16359495
crab,0.3241505
crack,0.23225133
cradle,0.33501506
craft,0.20640853
crash,0.15809552
crate,0.2629736
crave,0.21675308
crawl,0.15941094
crazy,0.16894619
create,0.10356249
creation,0.0630129
credit,0.078857794
creek,0.35485157
creep,0.17602506
crew,0.11552218
cricket,0.52094835
criminal,0.12454914
crimson,0.11806142
cripple,0.21887085
crisis,0.15321651
crisp,0.19765963
critical,0.13187225
crook,0.26923585
crooked,0.5908163
crop,0.18824413
crossing,0.15669493
crouch,0.28734586
crown,0.11237114
crude,0.3138317
cruise,0.17450975
crumb,0.23750661
crumble,0.37892997
crush,0.12502475
crust,0.11133284
crystal,0.17471346
cube,0.11089642
cubic,0.38205767
cubism,0.8534094
cucumber,0.72192025
cultivate,0.6618331
cultivation,0.7317606
culture,0.12996162
cunning,0.43046388
cupboard,0.337331
curb,0.22364406
cure,0.24258083
curiosity,0.42236015
curious,0.1756111
curl,0.16416752
currency,0.3433952
current,0.08558351
currently,0.19762231
curse,0.17235121
curtail,0.5223306
curve,0.14788114
cushion,0.21314351
custody,0.21581362
custom,0.0739035
customary,0.46172568
customer,0.108744055
customs,0.1237355
cycle,0.19628161
dagger,0.21623074
dainty,0.56189287
dairy,0.3090064
dam,0.08966024
damp,0.2638716
dangerous,0.26686257
daring,0.26183662
dart,0.14691459
dash,0.18193814
data,0.19689387
date,0.102127425
dawn,0.25878155
dazzle,0.3971916
dazzling,0.36107865
deadly,0.20327386
deaf,0.19886242
deal,0.12062163
dean,0.17588732
debate,0.08632833
debt,0.24747264
decade,0.08509861
decay,0.087786525
deceit,0.31656393
deceive,0.31458363
decent,0.19715655
deception,0.2775779
decimal,0.22085272
deck,0.15998656
declaration,0.3361745
declare,0.10120057
decline,0.22471692
decompose,0.7131646
decorate,0.6140316
decoration,0.54159975
decorative,0.712976
decrease,0.14612672
decree,0.59664774
dedicate,0.36733773
deduce,0.5513641
deduct,0.30204564
deed,0.14637873
deem,0.59440035
default,0.25992143
defeat,0.13745338
defect,0.27229556
defective,0.4795034
defence,0.29853466
defend,0.08845709
defer,0.57576364
defiance,0.5625119
deficiency,0.46879372
deficient,0.36826316
deficit,0.34115207
define,0.15347616
definite,0.10476592
definitely,0.12619162
definition,0.20275533
definitive,0.28350413
deflate,0.5753867
deflect,0.35821363
deform,0.377946
deformation,0.80102456
defray,0.62895244
defy,0.4742892
degradation,0.6645466
degrade,0.26175585
delay,0.20197025
delegate,0.5884916
delete,0.27691275
deliberate,0.41700178
deliberately,0.5939096
delicate,0.3131234
delicious,0.33591694
delinquency,0.6166157
delinquent,0.4100472
deliver,0.17559989
delusion,0.2840073
democracy,0.1289952
demolish,0.36928412
demolition,0.4111508
demonstrate,0.20774043
demonstration,0.4339833
denial,0.15704304
denomination,0.77106047
denote,0.32355946
denounce,0.48842126
dense,0.2069171
density,0.30346638
dent,0.15816376
dentist,0.23484692
deny,0.13261248
depart,0.093651794
departure,0.29764506
dependable,0.5951668
dependence,0.1956477
dependent,0.31302646
depict,0.44413242
deplete,0.74056226
deposit,0.20583141
deposition,0.65813154
depreciate,0.8675323
depreciation,0.8241504
depress,0.37230784
depressed,0.26929832
depression,0.39545625
deprive,0.34998056
deputy,0.26163924
derive,0.2916136
descend,0.16311438
descendant,0.28271872
descent,0.08707092
description,0.17404358
desert,0.29863468
deserve,0.13106112
design,0.102167174
designate,0.65483296
desirable,0.23156646
desire,0.13017629
desolate,0.80878806
despair,0.37509558
desperate,0.38860178
despise,0.4550421
despite,0.24670531
dessert,0.38946676
destination,0.44330758
destine,0.5415442
destiny,0.09249668
destruction,0.16379651
destructive,0.29402032
detach,0.1765633
detain,0.11448713
detect,0.105387956
detection,0.3694659
detective,0.33328122
deteriorate,0.69355285
determination,0.63748413
determine,0.32453823
detour,0.60515976
detriment,0.7104308
detrimental,0.7718438
deviate,0.46489078
device,0.2073189
devise,0.22039534
devote,0.21697174
devotion,0.5337505
devour,0.43983206
diagnose,0.38220215
diagnosis,0.31243426
diagram,0.2596903
dialect,0.3242828
diameter,0.2234063
dictate,0.39621451
dictator,0.34796235
diction,0.12649268
diet,0.086322404
differ,0.1690219
digest,0.1297487
digestion,0.28210008
digital,0.14273027
dignity,0.28022847
diligent,0.37068456
dilute,0.28230524
dim,0.10967194
dime,0.08360853
dimension,0.21974528
dimensional,0.5341979
diminish,0.27932426
dine,0.32560644
dingy,0.74461484
dip,0.101489566
diploma,0.2853241
diplomacy,0.2642302
diplomat,0.16629645
diplomatic,0.32070625
disable,0.1987233
disadvantage,0.40813294
disappointment,0.44497573
disapproval,0.4705699
disaster,0.2823761
disastrous,0.4829153
disc,0.05944243
discard,0.2346006
discern,0.37749943
discharge,0.3601547
discipline,0.24994595
disclose,0.5200337
discomfort,0.36836216
discount,0.1983196
discourage,0.20931202
discourse,0.45900765
discreet,0.3521549
discrepancy,0.6116546
discretion,0.4259933
discriminate,0.57288533
disdain,0.46538678
disgrace,0.34745008
disguise,0.25178418
disgust,0.15110861
disinclined,0.83650285
disinfectant,0.8239067
dismal,0.20505446
dismay,0.22693469
dismiss,0.27789697
disorder,0.22395372
disparity,0.48370168
dispatch,0.2671056
dispel,0.50134265
dispense,0.35358825
disperse,0.6252876
displace,0.45449063
displacement,0.443484
display,0.14643633
dispose,0.21887225
disposed,0.3004063
disposition,0.4255117
dispute,0.19579814
disregard,0.47093654
dissimilar,0.80666363
dissipate,0.74739254
dissolve,0.17534803
distance,0.1405948
distant,0.26230097
distinct,0.27104867
distinction,0.31496653
distinctly,0.5132467
distinguish,0.35209456
distinguished,0.49844292
distort,0.19044839
distortion,0.44844335
distract,0.4086185
distraction,0.37934488
distress,0.24867415
distribute,0.25789744
distribution,0.2964731
district,0.228565
disturb,0.27441016
disturbance,0.3708132
ditch,0.2845839
dive,0.19385825
diver,0.24884956
diverge,0.40677047
divergence,0.5862967
diverse,0.16021287
diversion,0.38752863
diversity,0.32645315
divert,0.39378944
divide,0.20102389
divine,0.217398
division,0.26091677
divorce,0.23012751
dizzy,0.19962218
dock,0.20749323
doctrine,0.3356022
document,0.08147523
documentary,0.19093563
documentation,0.35348025
dodge,0.18274072
doll,0.23647232
domain,0.11979342
dome,0.18894374
domestic,0.2452164
dominant,0.26073954
dominate,0.32306516
donate,0.23944513
donation,0.22786714
doom,0.17955036
dormitory,0.6357584
dose,0.15681382
dot,0.18449272
doubt,0.12682603
doubtful,0.61328596
doubtless,0.3430598
downtown,0.24854572
doze,0.31901506
draft,0.16663694
drag,0.11998406
drain,0.10197123
drainage,0.79022455
drama,0.18480861
dramatic,0.21492866
dramatize,0.8088848
drastic,0.4520598
draw,0.06810151
drawback,0.1821761
drawer,0.21842605
drawing,0.13667612
dread,0.24781772
dreadful,0.47987482
dreary,0.55750906
drench,0.41541508
drift,0.35658482
drill,0.23496938
drip,0.13202083
drought,0.4629498
drown,0.18114182
dubious,0.41761553
due,0.11612864
dull,0.37703103
duly,0.06869667
dumb,0.13516167
dump,0.09947408
duplicate,0.41327167
durable,0.33687994
duration,0.30436555
dwarf,0.1342566
dwell,0.30362466
dweller,0.44761235
dwelling,0.4044829
dye,0.2360643
dynamic,0.25749192
eager,0.12090438
earnest,0.30095905
earthquake,0.18697366
ease,0.09458854
eccentric,0.7595775
eccentricity,0.858006
echo,0.11930588
eclipse,0.28964418
ecology,0.2481511
economic,0.17155072
economical,0.21049035
economics,0.22844563
economize,0.78771234
economy,0.059289843
ecstasy,0.42711487
edge,0.06914106
edit,0.066773176
edition,0.111618415
editorial,0.1930006
education,0.15692252
effective,0.19628184
effectiveness,0.69665676
efficiency,0.21375018
efficient,0.15260611
effort,0.073101856
eject,0.365015
elaborate,0.51426107
elaboration,0.66445524
elapse,0.41305068
elastic,0.2208119
elasticity,0.7879187
elbow,0.19387102
election,0.12243301
electrical,0.3072962
electrician,0.78455794
electron,0.19107705
electronic,0.26198292
electronics,0.4554708
elegance,0.52375954
elegant,0.24991444
element,0.039910145
elementary,0.118218996
elevate,0.38420036
elevation,0.57057387
elevator,0.4008062
eliminate,0.38908908
elimination,0.43385848
ellipsis,0.34507167
elliptical,0.69187874
eloquence,0.5944674
eloquent,0.42875105
elusive,0.37258083
emancipate,0.89350784
emancipation,0.84312534
embargo,0.28815463
embark,0.4846966
embarrass,0.31671906
embassy,0.15354638
embody,0.43241262
embrace,0.29000595
embroider,0.63575965
embroidery,0.6931774
emerge,0.10622315
emergency,0.18728217
emigrant,0.83066964
emigrate,0.7615278
eminent,0.4979548
emission,0.53067535
emit,0.38822898
emotion,0.15793027
emotional,0.15055163
emphasis,0.28633282
emphasize,0.23830861
empirical,0.46610618
employ,0.14878033
employee,0.12816288
employer,0.14247307
employment,0.25992578
empty,0.18247376
enable,0.11758576
enchant,0.20397164
encircle,0.8231426
enclose,0.17301154
enclosure,0.21992762
encounter,0.17649923
encourage,0.23057961
endanger,0.41866484
endeavor,0.25983927
endless,0.18309604
endorse,0.19193737
endorsement,0.2755283
endow,0.6548504
endurance,0.26457906
endure,0.1868268
energetic,0.42106962
energy,0.16017097
enforce,0.27557388
engage,0.071270585
engagement,0.24281657
